"first_last","province","gender","year_of_birth","year_of_death","year","exit_year","party","gen_cohort","year_range","years_total","sessions_total","start_year","age_start"
"gilchrist_steve","Ontario","m",1954,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,41
"gill_parm","Ontario","m",1974,NA,2018,2024,"Progressice Conservative","GenerationX","1961-1981",6,12,2018,44
"gill_raminder","Ontario","m",1950,NA,1999,2003,"Progressice Conservative","Babyboom","1943-1960",4,8,1999,49
"gillies_phil","Ontario","m",1954,NA,1981,1987,"Progressice Conservative","Babyboom","1943-1960",6,12,1981,27
"glover_chris","Ontario","m",1961,NA,2018,2024,"CCF/NDP","GenerationX","1961-1981",6,12,2018,57
"gordon_jim","Ontario","m",1937,NA,1981,1987,"Progressice Conservative","Silent","1925-1942",6,12,1981,44
"grande_tony","Ontario","m",1943,2006,1975,1987,"CCF/NDP","Babyboom","1943-1960",12,24,1975,32
"grandmaitre_bernard","Ontario","m",1933,NA,1981,1999,"Liberal","Silent","1925-1942",18,36,1981,48
"gravelle_michael","Ontario","m",1949,NA,1995,2024,"Liberal","Babyboom","1943-1960",29,58,1995,46
"gregory_bud","Ontario","m",1926,2016,1975,1987,"Progressice Conservative","Silent","1925-1942",12,24,1975,49
"gretzky_lisa","Ontario","f",1971,NA,2014,2024,"CCF/NDP","GenerationX","1961-1981",10,20,2014,43
"grier_ruth","Ontario","f",1936,NA,1985,1995,"CCF/NDP","Silent","1925-1942",10,20,1985,49
"grimmett_bill","Ontario","m",1956,NA,1995,1999,"Progressice Conservative","Babyboom","1943-1960",4,8,1995,39
"grossman_larry","Ontario","m",1943,1997,1975,1987,"Progressice Conservative","Babyboom","1943-1960",12,24,1975,32
"guindon_luc","Ontario","m",1943,NA,1985,1987,"Progressice Conservative","Babyboom","1943-1960",2,4,1985,42
"guzzo_garry","Ontario","m",1941,NA,1995,2003,"Progressice Conservative","Silent","1925-1942",8,16,1995,54
"haeck_christel","Ontario","f",1948,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,42
"hall_ross","Ontario","m",1925,1999,1975,1981,"Liberal","Silent","1925-1942",6,12,1975,50
"hampton_howard","Ontario","m",1952,NA,1987,2011,"CCF/NDP","Babyboom","1943-1960",24,48,1987,35
"hansen_ron","Ontario","m",1943,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,47
"hardeman_ernie","Ontario","m",1947,NA,1995,2024,"Progressice Conservative","Babyboom","1943-1960",29,58,1995,48
"harden_joel","Ontario","m",1971,NA,2018,2024,"CCF/NDP","GenerationX","1961-1981",6,12,2018,47
"harnick_charles","Ontario","m",1950,NA,1990,1999,"Progressice Conservative","Babyboom","1943-1960",9,18,1990,40
"harrington_margaret","Ontario","f",1945,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,45
"harris_michael","Ontario","m",1979,NA,2011,2018,"Progressice Conservative","GenerationX","1961-1981",7,14,2011,32
"harris_michaelsr","Ontario","m",1945,NA,1981,2002,"Progressice Conservative","Babyboom","1943-1960",21,42,1981,36
"harrisjr_mike","Ontario","m",1985,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,33
"hart_christine","Ontario","f",1950,NA,1985,1990,"Liberal","Babyboom","1943-1960",5,10,1985,35
"haslam_karen","Ontario","f",1946,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,44
"hastings_john","Ontario","m",1942,NA,1995,2003,"Progressice Conservative","Silent","1925-1942",8,16,1995,53
"hatfield_percy","Ontario","m",1948,NA,2011,2024,"CCF/NDP","Babyboom","1943-1960",13,26,2011,63
"henderson_jim","Ontario","m",1940,2020,1985,1995,"Liberal","Silent","1925-1942",10,20,1985,45
"hillier_randy","Ontario","m",1958,NA,2007,2024,"Progressice Conservative","Babyboom","1943-1960",17,34,2007,49
"hodgson_chris","Ontario","m",1962,NA,1990,2003,"Progressice Conservative","GenerationX","1961-1981",13,26,1990,28
"hodgson_louis","Ontario","m",1936,2012,1963,1967,"Progressice Conservative","Silent","1925-1942",4,8,1963,27
"hodgson_ronaldglen","Ontario","m",1926,1996,1963,1975,"Progressice Conservative","Silent","1925-1942",12,24,1963,37
"hoggarth_ann","Ontario","f",1950,NA,2014,2018,"Liberal","Babyboom","1943-1960",4,8,2014,64
"holyday_douglasc","Ontario","m",1942,NA,2011,2014,"Progressice Conservative","Silent","1925-1942",3,6,2011,69
"hope_randy","Ontario","m",1959,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,31
"horwath_andrea","Ontario","f",1962,NA,2003,2024,"CCF/NDP","GenerationX","1961-1981",21,42,2003,41
"hosek_chaviva","Ontario","f",1946,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,41
"hoskins_eric","Ontario","m",1960,NA,2007,2018,"Liberal","Babyboom","1943-1960",11,22,2007,47
"hoy_pat","Ontario","m",1950,NA,1995,2011,"Liberal","Babyboom","1943-1960",16,32,1995,45
"hudak_tim","Ontario","m",1967,NA,1995,2016,"Progressice Conservative","GenerationX","1961-1981",21,42,1995,28
"hunter_mitzie","Ontario","f",1971,NA,2011,2024,"Liberal","GenerationX","1961-1981",13,26,2011,40
"isaacs_colin","Ontario","m",1948,NA,1977,1981,"CCF/NDP","Babyboom","1943-1960",4,8,1977,29
"jackson_cameron","Ontario","m",1951,NA,1985,2006,"Progressice Conservative","Babyboom","1943-1960",21,42,1985,34
"jackson_don","Ontario","m",1930,NA,1967,1971,"CCF/NDP","Silent","1925-1942",4,8,1967,37
"jackson_rod","Ontario","m",1970,NA,2011,2014,"Progressice Conservative","GenerationX","1961-1981",3,6,2011,41
"jaczek_helena","Ontario","f",1950,NA,2007,2018,"Liberal","Babyboom","1943-1960",11,22,2007,57
"jamison_norm","Ontario","m",1950,2017,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,40
"jeffrey_linda","Ontario","f",1958,NA,2003,2014,"Liberal","Babyboom","1943-1960",11,22,2003,45
"johns_helen","Ontario","f",1953,NA,1995,2003,"Progressice Conservative","Babyboom","1943-1960",8,16,1995,42
"johnson_bert","Ontario","m",1939,NA,1995,2003,"Progressice Conservative","Silent","1925-1942",8,16,1995,56
"johnson_david","Ontario","m",1945,NA,1990,1999,"Progressice Conservative","Babyboom","1943-1960",9,18,1990,45
"johnson_jack","Ontario","m",1930,2009,1975,1990,"Progressice Conservative","Silent","1925-1942",15,30,1975,45
"johnson_paul","Ontario","m",1952,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,38
"johnson_ron","Ontario","m",1966,NA,1995,1999,"Progressice Conservative","GenerationX","1961-1981",4,8,1995,29
"johnston_richard","Ontario","m",1946,NA,1977,1990,"CCF/NDP","Babyboom","1943-1960",13,26,1977,31
"jones_sylvia","Ontario","f",1965,NA,2007,2024,"Progressice Conservative","GenerationX","1961-1981",17,34,2007,42
"jones_terry","Ontario","m",1938,2014,1975,1985,"Progressice Conservative","Silent","1925-1942",10,20,1975,37
"jordan_leo","Ontario","m",1929,2015,1990,1999,"Progressice Conservative","Silent","1925-1942",9,18,1990,61
"kanter_ron","Ontario","m",1948,NA,1987,1990,"Liberal","Babyboom","1943-1960",3,6,1987,39
"karpoche_bhutila","Ontario","f",1983,NA,2018,2024,"CCF/NDP","Millenial","1982-2004",6,12,2018,35
"kennedy_gerard","Ontario","m",1960,NA,1999,2006,"Liberal","Babyboom","1943-1960",7,14,1999,39
"keyes_ken","Ontario","m",1930,NA,1985,1990,"Liberal","Silent","1925-1942",5,10,1985,55
"khanjin_andrea","Ontario","f",1987,NA,2018,2024,"Progressice Conservative","Millenial","1982-2004",6,12,2018,31
"kiwala_sophie","Ontario","f",1962,NA,2014,2018,"Liberal","GenerationX","1961-1981",4,8,2014,52
"klees_frank","Ontario","m",1951,NA,1995,2014,"Progressice Conservative","Babyboom","1943-1960",19,38,1995,44
"klopp_paul","Ontario","m",1957,NA,1990,1995,"CCF/NDP","Babyboom","1943-1960",5,10,1990,33
